Cluster,Age_mean,Age_std,Age_min,Age_max,Annual Income (k$)_mean,Annual Income (k$)_std,Annual Income (k$)_min,Annual Income (k$)_max,Spending Score (1-100)_mean,Spending Score (1-100)_std,Spending Score (1-100)_min,Spending Score (1-100)_max,Count
0,46.25,11.58,20,67,26.75,7.31,16,39,18.35,11.94,3,36,20
1,25.19,5.51,18,38,41.09,16.82,15,67,62.24,16.6,39,99,54
2,32.88,3.86,27,40,86.1,16.34,69,137,81.53,10.0,58,97,40
3,39.87,10.94,19,59,86.1,16.73,64,137,19.36,11.61,1,42,39
4,55.64,8.91,40,70,54.38,8.82,38,79,48.85,6.3,35,60,47
